idx,imdb_id,title,genres,keywords,overview,popularity,release_date,tagline,vote_average,vote_count,overview_tk,tagline_tk
0,tt0114709,Toy Story,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,1995-10-30,,7.7,5415,"['led', 'woody', 'andy', 'toys', 'live', 'happily', 'room', 'andy', 'birthday', 'brings', 'buzz', 'lightyear', 'onto', 'scene', 'afraid', 'losing', 'place', 'andy', 'heart', 'woody', 'plots', 'buzz', 'circumstances', 'separate', 'buzz', 'woody', 'owner', 'duo', 'eventually', 'learns', 'put', 'aside', 'differences']",[]
1,tt0113277,Heat,"['Action', 'Crime', 'Drama', 'Thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,1995-12-15,A Los Angeles Crime Saga,7.7,1886,"['obsessive', 'master', 'thief', 'neil', 'mccauley', 'leads', 'top-notch', 'crew', 'various', 'insane', 'heists', 'throughout', 'los', 'angeles', 'mentally', 'unstable', 'detective', 'vincent', 'hanna', 'pursues', 'without', 'rest', 'man', 'recognizes', 'respects', 'ability', 'dedication', 'even', 'though', 'aware', 'cat-and-mouse', 'game', 'may', 'end', 'violence']","['los', 'angeles', 'crime', 'saga']"
2,tt0112641,Casino,"['Drama', 'Crime']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']",The life of the gambling paradise ??Las Vegas ??and its dark mafia underbelly.,10.137389,1995-11-22,No one stays at the top forever.,7.8,1343,"['life', 'gambling', 'paradise', 'las', 'vegas', 'dark', 'mafia', 'underbelly']","['one', 'stays', 'top', 'forever']"
3,tt0114369,Se7en,"['Crime', 'Mystery', 'Thriller']","['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,1995-09-22,Seven deadly sins. Seven ways to die.,8.1,5915,"['two', 'homicide', 'detectives', 'desperate', 'hunt', 'serial', 'killer', 'whose', 'crimes', 'based', 'seven', 'deadly', 'sins', 'dark', 'haunting', 'film', 'takes', 'viewers', 'tortured', 'remains', 'one', 'victim', 'next', 'seasoned', 'det', 'sommerset', 'researches', 'sin', 'effort', 'get', 'inside', 'killer', 'mind', 'novice', 'partner', 'mills', 'scoffs', 'efforts', 'unravel', 'case']","['seven', 'deadly', 'sins', 'seven', 'ways', 'die']"
4,tt0114814,The Usual Suspects,"['Drama', 'Crime', 'Thriller']","['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor ??leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,1995-07-19,Five Criminals. One Line Up. No Coincidence.,8.1,3334,"['held', 'l.a.', 'interrogation', 'room', 'verbal', 'kint', 'attempts', 'convince', 'feds', 'mythic', 'crime', 'lord', 'keyser', 'soze', 'exists', 'also', 'responsible', 'drawing', 'four', 'partners', 'multi-million', 'dollar', 'heist', 'ended', 'explosion', 'san', 'pedro', 'harbor', 'leaving', 'survivors', 'verbal', 'lures', 'interrogators', 'incredible', 'story', 'crime', 'lord', 'almost', 'supernatural', 'prowess']","['five', 'criminals', 'one', 'line', 'coincidence']"
5,tt0113247,La Haine,['Drama'],"['paris', 'neo-nazi', 'skinhead', 'robbery', 'police brutality', 'hip-hop', 'gun', 'socially deprived family', 'breakdance', 'arabian', 'boredom', 'revenge', 'suburb', 'violence', 'police officer', 'unemployment', 'capture', 'xenophobia']","Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",12.108196,1995-05-31,Three Young Friends... One Last Chance.,7.9,695,"['aimlessly', 'whiling', 'away', 'days', 'concrete', 'environs', 'dead-end', 'suburbia', 'vinz', 'hubert', 'said', '--', 'jew', 'african', 'arab', '--', 'give', 'human', 'faces', 'france', 'immigrant', 'populations', 'bristling', 'resentment', 'social', 'marginalization', 'slowly', 'simmering', 'reaches', 'climactic', 'boiling', 'point', 'la', 'haine', 'means', 'hate']","['three', 'young', 'friends', 'one', 'last', 'chance']"
6,tt0112573,Braveheart,"['Action', 'Drama', 'History', 'War']","['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,1995-05-24,Every man dies. Not every man truly lives.,7.7,3404,"['enraged', 'slaughter', 'murron', 'new', 'bride', 'childhood', 'love', 'scottish', 'warrior', 'william', 'wallace', 'slays', 'platoon', 'local', 'english', 'lord', 'soldiers', 'leads', 'village', 'revolt', 'eventually', 'entire', 'country', 'rise', 'english', 'rule']","['every', 'man', 'dies', 'every', 'man', 'truly', 'lives']"
7,tt0075314,Taxi Driver,"['Crime', 'Drama']","['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,1976-02-07,"On every street in every city, there's a nobody who dreams of being a somebody.",8.1,2632,"['mentally', 'unstable', 'vietnam', 'war', 'veteran', 'works', 'night-time', 'taxi', 'driver', 'new', 'york', 'city', 'perceived', 'decadence', 'sleaze', 'feeds', 'urge', 'violent', 'action', 'attempting', 'save', 'preadolescent', 'prostitute', 'process']","['every', 'street', 'every', 'city', 'nobody', 'dreams', 'somebody']"
8,tt0112471,Before Sunrise,"['Drama', 'Romance']","['dialogue', 'sunrise', 'talking', 'soulmates', 'walking', 'austria', 'traveller', 'danube', 'bittersweet', 'romantic', 'vienna']","A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,1995-01-27,Can the greatest romance of your life last only one night?,7.7,984,"['dialogue', 'marathon', 'film', 'fairytale', 'love', 'story', 'american', 'boy', 'french', 'girl', 'day', 'night', 'together', 'vienna', 'two', 'hearts', 'collide']","['greatest', 'romance', 'life', 'last', 'one', 'night']"
9,tt0076759,Star Wars,"['Adventure', 'Action', 'Science Fiction']","['android', 'galaxy', 'hermit', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'empire', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,1977-05-25,"A long time ago in a galaxy far, far away...",8.1,6778,"['princess', 'leia', 'captured', 'held', 'hostage', 'evil', 'imperial', 'forces', 'effort', 'take', 'galactic', 'empire', 'venturesome', 'luke', 'skywalker', 'dashing', 'captain', 'han', 'solo', 'team', 'together', 'loveable', 'robot', 'duo', 'r2-d2', 'c-3po', 'rescue', 'beautiful', 'princess', 'restore', 'peace', 'justice', 'empire']","['long', 'time', 'ago', 'galaxy', 'far', 'far', 'away']"
