0,tt0114709,""
1,tt0113277,"los angeles crime saga"
2,tt0112641,"one stays top forever"
3,tt0114369,"seven deadly sins seven ways die"
4,tt0114814,"five criminals one line coincidence"
5,tt0113247,"three young friends one last chance"
6,tt0112573,"every man dies every man truly lives"
7,tt0075314,"every street every city nobody dreams somebody"
8,tt0112471,"greatest romance life last one night"
9,tt0076759,"long time ago galaxy far far away"
10,tt0110413,"want job done well hire professional"
11,tt0110912,"character mean character"
12,tt0111161,"fear hold prisoner hope set free"
13,tt0109830,"world never 've seen eyes forrest gump"
14,tt0110357,"life greatest adventure finding place circle life"
15,tt0107207,"falsely accused wrongly imprisoned fought justice clear father name"
16,tt0107290,"adventure 65 million years making"
17,tt0108052,"whoever saves one life saves world entire"
18,tt0083658,"man made match problem"
19,tt0103639,"wish granted"
20,tt0103064,"nothing personal"
21,tt0102926,"enter mind killer must challenge mind madman"
22,tt0116282,"lot happen middle nowhere"
23,tt0048473,""
24,tt0057012,"hot-line suspense comedy"
25,tt0117951,"choose life"
26,tt0068646,"offer ca refuse"
27,tt0045152,"glorious feeling"
28,tt0052357,"alfred hitchcock engulfs whirlpool terror tension"
29,tt0047396,"takes one witness spoil perfect crime"
30,tt0025316,"together first time"
31,tt0053125,"deadly game 'tag cary grant 'it"
32,tt0053604,"movie-wise never anything like - laugh-wise love-wise otherwise-wise"
33,tt0053291,"movie hot words"
34,tt0034583,"date fate casablanca"
35,tt0032138,"'re see wizard wonderful wizard oz"
36,tt0031381,"greatest romance time"
37,tt0043014,"hollywood story"
38,tt0033467,"terrific"
39,tt0062622,"epic drama adventure exploration"
40,tt0042192,"women men"
41,tt0032976,"shadow woman darkened love"
42,tt0035446,""
43,tt0038650,"wonderful laugh wonderful love"
44,tt0031679,"romance drama laughter heartbreak created heart soil america"
45,tt0059742,"happiest sound world"
46,tt0095016,"40 stories twelve terrorists one cop"
47,tt0079470,"messiah naughty boy"
48,tt0046912,"woman answers hang dear life"
49,tt0105236,"every dog day"
50,tt0091763,"first casualty war innocence"
51,tt0071853,"last another film completely different films quite one"
52,tt0095765,"celebration youth friendship everlasting magic movies"
53,tt0050825,"explodes no-man land picture ever dared cross"
54,tt0073486,"crazy make"
55,tt0080684,"adventure continues"
56,tt0082971,"indiana jones - new hero creators jaws star wars"
57,tt0090605,"time war"
58,tt0060196,"three men civil war hell practice"
59,tt0050083,"life hands death minds"
60,tt0056172,""
61,tt0066921,"adventures young man whose principal interests rape ultra-violence beethoven"
62,tt0056592,""
63,tt0078788,"end"
64,tt0064116,"three men life one take one love one kill"
65,tt0086190,"empire falls"
66,tt0041959,"hunted men sought women"
67,tt0099685,"three decades life mafia"
68,tt0078748,"space one hear scream"
69,tt0054215,"master suspense moves cameras icy blackness unexplored"
70,tt0071562,"feel wipe everybody tom enemies"
71,tt0093058,"vietnam kill make care"
72,tt0086879,"everything 've heard true"
73,tt0087843,"crime passion lust power - sergio leone explosive saga gangland america"
74,tt0081398,""
75,tt0082096,"hunters become hunted"
76,tt0070735,"takes little confidence"
77,tt0050976,""
78,tt0088247,"future hands"
79,tt0097165,"inspiration made lives extraordinary"
80,tt0050212,"spans whole new world entertainment"
81,tt0071315,"get tough get tender get close maybe even get close truth"
82,tt0040897,"nearer get treasure farther get law"
83,tt0081505,"masterpiece modern horror"
84,tt0092005,"last real taste innocence first real taste life everyone time memories made"
85,tt0022100,""
86,tt0057115,"put fence front men 'll climb"
87,tt0077416,"one important powerful films time"
88,tt0107048,"worst day life"
89,tt0105695,"legends never forgotten wrongs never forgiven"
90,tt0088763,"kid ever get trouble born"
91,tt0061512,"'ve got failure communicate"
92,tt0032553,"- whole world laughs"
93,tt0052618,"entertainment experience lifetime"
94,tt0097576,"man hat back time bringing dad"
95,tt0083987,"triumph changed world forever"
96,tt0073195,"go water"
97,tt0119488,"everything suspect everyone sale nothing seems"
98,tt0120382,"air unaware"
99,tt0119217,"people never believe someone believes"
100,tt0118715,"times like call big lebowski"
101,tt0118849,"little secret biggest adventure"
102,tt0036868,"three wonderful loves best picture year"
103,tt0047296,"man lived jungle law docks"
104,tt0075148,"whole life million-to-one shot"
105,tt0070047,"something almost beyond comprehension happening girl street house man sent last resort man exorcist"
106,tt0017136,"understanding hands brain unless heart acts mediator"
107,tt0047478,"mighty warriors became seven national heroes small town"
108,tt0120815,"mission man"
109,tt0084787,"man warmest place hide"
110,tt0080678,"animal human man"
111,tt0118799,"unforgettable fable proves love family imagination conquer"
112,tt0120586,"legacies must end"
113,tt0120735,"disgrace criminals everywhere"
114,tt0133093,"welcome real world"
115,tt0072684,"long last redmond barry became gentleman - tragedy"
116,tt0053198,"angel faces hell-bent violence"
117,tt0129167,"came outer space"
118,tt0167404,"every gift blessing"
119,tt0169547,"look closer"
120,tt0137523,"mischief mayhem soap"
121,tt0017925,"buster drives general trainload laughter ( trade paper ad )"
122,tt0040522,"man son search stolen bicycle vital job"
123,tt0032551,"discussed book years - comes screen become discussed picture ages"
124,tt0120689,"miracles happen"
125,tt0021749,"true blind love"
126,tt0012349,"6 reels joy"
